Timestamp sec,Timestamp nanosec,Target x,Target y,Target z, Target sec, Target nanosec,Entry_point x,Entry_point y,Entry_point z, Entry_point sec, Entry_point nanosec,AuroraTip x,AuroraTip y,AuroraTip z,AuroraTip qw,AuroraTip qx,AuroraTip qy,AuroraTip qz,AuroraTip sec,AuroraTip nanosec,Tip x,Tip y,Tip z,Tip qw,Tip qx,Tip qy,Tip qz,Tip sec,Tip nanosec,AuroraBase x,AuroraBase y,AuroraBase z,AuroraBase qw,AuroraBase qx,AuroraBase qy,AuroraBase qz,AuroraBase sec,AuroraBase nanosec,Base x,Base y,Base z,Base qw,Base qx,Base qy,Base qz,Base sec,Base nanosec,J00,J01,J02,J10,J11,J12,J20,J21,J22,J30,J31,J32,J40,J41,J42,J sec,J nanosec,Control x,Control y,Control z,Control sec,Control nanosec,Robot x,Robot z,Robot sec,Robot nanosec
1659730897,552395109,0,0,0,0,0,0,0,0,0,0,63.6222496032715,45.4839859008789,-271.104766845703,0.999727189540863,0.016544044017792,0.016486585140228,0,1659730897,549499471,-39.6880476808293,9.30076328463974,38.3062685673619,-0.70232959170989,-0.711790132054324,0.00061462592487,-0.009511764493571,1659730897,419063815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03648125,0.03832875,1659730897,545375942
1659730898,52363350,0,0,0,0,0,0,0,0,0,0,63.7408752441406,45.2776985168457,-271.316833496094,0.999750554561615,0.015564801171422,0.016015503555536,1.30E-08,1659730898,42365993,-39.8810958627827,9.22017316977554,38.1456881931776,-0.702924471343854,-0.711177759266055,-6.40E-05,-0.010165483168787,1659730898,19047415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03648125,0.03832875,1659730898,45339997
1659730898,552456174,0,0,0,0,0,0,0,0,0,0,63.8810081481934,45.7749671936035,-270.991729736328,0.999721944332123,0.018069744110108,0.015150875784457,-2.42E-08,1659730898,535147802,-39.6504821255117,9.30405163864424,38.2199012629225,-0.702828190826788,-0.711298775885598,0.000754925434237,-0.009364827446446,1659730898,319148788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03648125,0.03832875,1659730898,545322072
1659730899,52346671,0,0,0,0,0,0,0,0,0,0,63.402530670166,45.6902885437012,-271.101379394531,0.999687075614929,0.017546892166138,0.017828969284892,2.23E-08,1659730899,47530395,-39.6464138977931,9.12810639968973,38.3636959565944,-0.702248932628304,-0.71185776782668,0.000974949696837,-0.009159810082964,1659730898,918863474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03648125,0.03832875,1659730899,45279595
1659730899,552446166,0,0,0,0,0,0,0,0,0,0,63.9115867614746,45.2951622009277,-271.340484619141,0.999769866466522,0.015333353541792,0.015009700320661,-1.12E-08,1659730899,539672049,-39.5282853617968,9.35818005317009,38.3825366307432,-0.702277658865505,-0.711851381683363,0.001216471427349,-0.008922820662695,1659730899,519616936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03648125,0.03832875,1659730899,545271519
1659730900,52417037,0,0,0,0,0,0,0,0,0,0,63.6416625976563,45.3809623718262,-270.957855224609,0.999737918376923,0.016166746616364,0.016208350658417,1.86E-08,1659730900,31266351,-39.5365300137431,9.3195501768937,38.207279191478,-0.702748133022213,-0.711372616303351,0.001158934127642,-0.008970128107983,1659730899,818950184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03648125,0.03832875,1659730900,45271783
1659730900,552477040,0,0,0,0,0,0,0,0,0,0,63.7067451477051,45.3525123596191,-270.995513916016,0.999743163585663,0.016027215868235,0.016016962006688,-1.86E-08,1659730900,546509833,-39.8442375599455,9.22888166946632,38.2540653238307,-0.702636674767487,-0.711470634612765,0.000138099862412,-0.009972937732018,1659730900,419102171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03648125,0.03832875,1659730900,545258734
1659730901,52500673,0,0,0,0,0,0,0,0,0,0,63.6677284240723,45.4072647094727,-271.05712890625,0.999738156795502,0.016156673431397,0.01620152592659,-1.49E-08,1659730901,38458851,-39.7524177429292,9.17682889659704,38.2605606654396,-0.702594949139289,-0.711516858170585,0.000529596496836,-0.009589932471373,1659730901,20810825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03648125,0.03832875,1659730901,45236152
1659730901,552484291,0,0,0,0,0,0,0,0,0,0,64.0124588012695,45.5926551818848,-271.554534912109,0.999747335910797,0.016957880929113,0.014747949317098,-6.52E-09,1659730901,546807655,-39.6036669603262,9.23821042346981,38.2354637848971,-0.702759622049753,-0.711367119035816,0.001154243710164,-0.008974616899815,1659730901,318981855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03648125,0.03832875,1659730901,545214282
1659730902,52536337,0,0,0,0,0,0,0,0,0,0,63.5439300537109,45.4986686706543,-269.614013671875,0.999817430973053,0.009665966965258,0.016482682898641,-1.30E-08,1659730902,39057485,-39.8169133752953,9.80796480056091,38.2550066245879,-0.702818290940486,-0.711300471287479,-0.000139748758447,-0.010242079498479,1659730901,919128465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03648125,0.03832875,1659730902,45204472
