Timestamp sec,Timestamp nanosec,Target x,Target y,Target z, Target sec, Target nanosec,Entry_point x,Entry_point y,Entry_point z, Entry_point sec, Entry_point nanosec,AuroraTip x,AuroraTip y,AuroraTip z,AuroraTip qw,AuroraTip qx,AuroraTip qy,AuroraTip qz,AuroraTip sec,AuroraTip nanosec,Tip x,Tip y,Tip z,Tip qw,Tip qx,Tip qy,Tip qz,Tip sec,Tip nanosec,AuroraBase x,AuroraBase y,AuroraBase z,AuroraBase qw,AuroraBase qx,AuroraBase qy,AuroraBase qz,AuroraBase sec,AuroraBase nanosec,Base x,Base y,Base z,Base qw,Base qx,Base qy,Base qz,Base sec,Base nanosec,J00,J01,J02,J10,J11,J12,J20,J21,J22,J30,J31,J32,J40,J41,J42,J sec,J nanosec,Control x,Control y,Control z,Control sec,Control nanosec,Robot x,Robot z,Robot sec,Robot nanosec
1666031627,747016276,0,0,0,0,0,0,0,0,0,0,79.15827178955078,5.353743553161621,-264.80462646484375,0.9996899366378784,0.016216039657592773,0.018900036811828613,-2.7933786839184904e-08,1666031627,730904504,-25.369554595557517,4.360302212975796,1.2968942206861191,0.7076344705084279,0.7065447047840807,0.012665118272065666,0.002294861377181009,1666031627,684287531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,-7.500000000000001e-06,1666031627,727361360
1666031628,246859939,0,0,0,0,0,0,0,0,0,0,79.2383804321289,5.427948951721191,-264.7314758300781,0.9996898174285889,0.016597867012023926,0.01856967993080616,1.3042561697318433e-08,1666031628,242289879,-25.28927670700955,4.3456322918737555,1.5103761290669757,0.7070554381284803,0.7071449273495006,0.012285444917179193,0.0019372869303091317,1666031627,984020190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,-7.500000000000001e-06,1666031628,227332076
1666031628,747018665,0,0,0,0,0,0,0,0,0,0,79.49906158447266,5.437859058380127,-264.8099365234375,0.9997259974479675,0.016033649444580078,0.017054351046681404,5.589466667288434e-09,1666031628,739757452,-25.084832911266716,4.293695012178603,1.4035924352596743,0.7072905733449146,0.7069257852517081,0.011669794026452636,0.0013390029095796795,1666031628,584153716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,-7.500000000000001e-06,1666031628,727395243
1666031629,246989654,0,0,0,0,0,0,0,0,0,0,79.25841522216797,5.096846580505371,-260.6998596191406,0.9996782541275024,0.015692710876464844,0.01992785930633545,-1.676920291515671e-08,1666031629,233075300,-25.31360042889696,3.717892901554876,1.3565627098321107,0.7069266998742365,0.7072618944296581,0.012183653097315731,0.0018410123218319564,1666031629,184193922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,-7.500000000000001e-06,1666031629,227340361
1666031629,747043636,0,0,0,0,0,0,0,0,0,0,79.61347961425781,5.4220476150512695,-259.1880187988281,0.9995954632759094,0.016239045187830925,0.02335348352789879,-1.6770590249848283e-08,1666031629,742702866,-25.152086021904637,-0.09408232507638559,1.321893336359003,0.7081116769232167,0.7060434730913473,0.01388793087753738,0.0034683526186680743,1666031629,484228606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,-7.500000000000001e-06,1666031629,727329884
1666031630,246996499,0,0,0,0,0,0,0,0,0,0,79.87528991699219,5.293985843658447,-259.5381164550781,0.9996963739395142,0.015565632842481136,0.019104929640889168,-2.794816467144301e-08,1666031630,238034000,-24.784407588891355,-1.1366819942162465,1.566396160179699,0.707156291694008,0.7070044890530407,0.014229581424221397,0.0038133193211629998,1666031630,84234288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,-7.500000000000001e-06,1666031630,227350645
1666031630,746981655,0,0,0,0,0,0,0,0,0,0,79.53466033935547,5.416683197021484,-259.54595947265625,0.9996591806411743,0.01569288782775402,0.020864427089691162,2.420808620229309e-08,1666031630,732461115,-24.921303509885348,-0.9284420180533175,1.485293617056036,0.7081769514662877,0.7059877781925737,0.013412322062332373,0.0030079688154618055,1666031630,684200384,0,0,0,0,0,0,0,0,0,-25.0,0.0,-0.0075000000000000015,1.0,0.0,0.0,0.0,1666031630,685153966,-0.5,-0.015,0.0,0.001,0.85,0.001,0.0,-0.001,-0.5,-0.01,-0.001,0.0,0.0,-0.001,-0.01,1666031630,686390795,0,0,0,0,0,-0.025,-7.500000000000001e-06,1666031630,727263496
1666031631,247021145,0,0,0,0,0,0,0,0,0,0,79.741455078125,5.370729446411133,-259.7337646484375,0.9996739625930786,0.016253231093287468,0.019695430994033813,-1.6754716725131402e-08,1666031631,242241882,-24.822600045582803,-0.8643560870439728,1.5972948436082026,0.7078783813726093,0.7062871427999813,0.013080868689762444,0.0026925500073787297,1666031630,984222906,0,0,0,0,0,0,0,0,0,-25.0,0.0,-0.0075000000000000015,1.0,0.0,0.0,0.0,1666031630,685153966,-0.5,-0.015,0.0,0.001,0.85,0.001,0.0,-0.001,-0.5,-0.01,-0.001,0.0,0.0,-0.001,-0.01,1666031630,686390795,0,0,0,0,0,-0.025,-7.500000000000001e-06,1666031631,227295743
1666031631,747037503,-24.921303509885348,-100.0,1.485293617056036,1666031631,383521687,-24.921303509885348,-0.9284420180533175,1.485293617056036,1666031631,383521687,79.53102111816406,5.123997211456299,-259.6441955566406,0.9996505975723267,0.015355349518358707,0.021512987092137337,5.589888552037792e-09,1666031631,735593395,-24.857422152769956,-0.8367258865324061,1.4483163910314891,0.7077027811059792,0.7064679299024861,0.013121671438549129,0.002734725444074033,1666031631,584120667,0,0,0,0,0,0,0,0,0,-25.0,0.0,-0.0075000000000000015,1.0,0.0,0.0,0.0,1666031630,685153966,-0.5,-0.015,0.0,0.001,0.85,0.001,0.0,-0.001,-0.5,-0.01,-0.001,0.0,0.0,-0.001,-0.01,1666031630,686390795,0,0,0,0,0,-0.025,-7.500000000000001e-06,1666031631,727251667
1666031632,246893596,-24.921303509885348,-100.0,1.485293617056036,1666031631,383521687,-24.921303509885348,-0.9284420180533175,1.485293617056036,1666031631,383521687,80.16840362548828,4.891952991485596,-254.75830078125,0.999453604221344,0.013580086641013622,0.03013155423104763,2.9789495314958003e-08,1666031632,245435772,-25.045419084789884,-2.6240062876210573,1.081994866285604,0.7091292923601015,0.704956310725959,0.017095509694802467,0.0065501647276910244,1666031632,184144704,0,0,0,0,0,0,0,0,0,-25.0,0.0,-0.0075000000000000015,1.0,0.0,0.0,0.0,1666031630,685153966,-0.5,-0.015,0.0,0.001,0.85,0.001,0.0,-0.001,-0.5,-0.01,-0.001,0.0,0.0,-0.001,-0.01,1666031630,686390795,0,0,0,0,0,-0.025,-7.500000000000001e-06,1666031632,227245783
