Timestamp sec,Timestamp nanosec,Target x,Target y,Target z, Target sec, Target nanosec,Entry_point x,Entry_point y,Entry_point z, Entry_point sec, Entry_point nanosec,AuroraTip x,AuroraTip y,AuroraTip z,AuroraTip qw,AuroraTip qx,AuroraTip qy,AuroraTip qz,AuroraTip sec,AuroraTip nanosec,Tip x,Tip y,Tip z,Tip qw,Tip qx,Tip qy,Tip qz,Tip sec,Tip nanosec,AuroraBase x,AuroraBase y,AuroraBase z,AuroraBase qw,AuroraBase qx,AuroraBase qy,AuroraBase qz,AuroraBase sec,AuroraBase nanosec,Base x,Base y,Base z,Base qw,Base qx,Base qy,Base qz,Base sec,Base nanosec,J00,J01,J02,J10,J11,J12,J20,J21,J22,J30,J31,J32,J40,J41,J42,J sec,J nanosec,Control x,Control y,Control z,Control sec,Control nanosec,Robot x,Robot z,Robot sec,Robot nanosec
1666039832,175845677,0,0,0,0,0,0,0,0,0,0,77.37921142578125,25.924654006958008,-263.8615417480469,0.9995303153991699,-0.0003701448440551758,0.030645934864878654,-1.8626559850076774e-08,1666039832,172620201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.02112875,1666039832,142228099
1666039832,675859366,0,0,0,0,0,0,0,0,0,0,77.34480285644531,25.923011779785156,-263.7239685058594,0.9995205402374268,-0.0005064010620117188,0.030957819893956184,-2.980205948688308e-08,1666039832,664118618,-27.00931781795947,4.023951348872231,21.693983972110537,0.719852730769778,0.6937860904546689,0.021658031204809036,0.01078781092517843,1666039832,438497329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.02112875,1666039832,642227731
1666039833,176100701,0,0,0,0,0,0,0,0,0,0,77.52932739257812,26.16448974609375,-263.45111083984375,0.9995577931404114,0.0004013777070213109,0.029732825234532356,-5.587677875951158e-09,1666039833,155950655,-26.89439624348958,3.913489704308347,21.86601646089145,0.7193389286559072,0.6943405987240374,0.02122673594842015,0.010379389700643869,1666039833,38423961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.02112875,1666039833,142253449
1666039833,676073155,0,0,0,0,0,0,0,0,0,0,77.51322937011719,26.00235366821289,-263.49993896484375,0.9996458292007446,0.012119592167437077,0.023692311719059944,-3.7266101315935884e-09,1666039833,670439849,-26.729969517232277,4.215366611672891,22.041163858404722,0.7175900070532274,0.6961844435338175,0.020422787299009353,0.009630490270096282,1666039833,638551560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.02112875,1666039833,642200991
1666039834,175993174,0,0,0,0,0,0,0,0,0,0,78.25685119628906,25.741819381713867,-258.82244873046875,0.9995973706245422,0.0056684608571231365,0.027805624529719353,7.4463026855653425e-09,1666039834,160539195,-26.78946503756903,2.6807870318897358,21.618597958295275,0.7129660732455484,0.7010345035880807,0.017484144483010815,0.006865170342396825,1666039833,938588098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.02112875,1666039834,142204392
1666039834,676080503,0,0,0,0,0,0,0,0,0,0,77.31832122802734,26.021404266357422,-259.89276123046875,0.9995423555374146,0.004190682899206877,0.029961377382278442,1.3037206869626061e-08,1666039834,655740800,-26.397391168021088,-0.22713944087479376,21.93603135852353,0.7159301405361174,0.6979393395429463,0.01935300232567605,0.008623449751934421,1666039834,540587279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.02112875,1666039834,642176412
1666039835,176096562,0,0,0,0,0,0,0,0,0,0,78.04080200195312,25.90009117126465,-259.73846435546875,0.9996756315231323,0.003553926944732666,0.025220215320587158,2.79378262746377e-08,1666039835,165460243,-26.531798842341644,-0.07759422922481463,21.762741738024637,0.7171336420199096,0.6967375391647209,0.018245565147006333,0.007534966043001162,1666039835,138449860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.02112875,1666039835,142153690
1666039835,676088142,0,0,0,0,0,0,0,0,0,0,77.43480682373047,25.567575454711914,-259.95135498046875,0.999594509601593,0.0019167662831023335,0.02841147780418396,-1.862490961457297e-08,1666039835,659623321,-26.711205519027217,0.10455097232124899,21.759261824584875,0.7173476384706788,0.696498588183336,0.018780419965692206,0.008048138459911501,1666039835,438447573,0,0,0,0,0,0,0,0,0,-25.0,0.0,21.12875,1.0,0.0,0.0,0.0,1666039835,251302649,-0.5,-0.015,0.0,0.001,0.85,0.001,0.0,-0.001,-0.5,-0.01,-0.001,0.0,0.0,-0.001,-0.01,1666039835,252207225,0,0,0,0,0,-0.025,0.02112875,1666039835,642168561
1666039836,175907256,-26.511707006854834,-100.0,21.715505595132406,1666039836,138744707,-26.511707006854834,-0.04690897196815058,21.715505595132406,1666039836,138744707,77.7601318359375,25.741043090820312,-259.98651123046875,0.9996466636657715,0.003190875519067049,0.026386026293039322,2.7938634516999628e-08,1666039836,172664622,-26.891089636560295,0.2572152235018734,21.870837017269345,0.7167650389069612,0.697081042429619,0.01925601340510367,0.008516657843268985,1666039836,38653465,0,0,0,0,0,0,0,0,0,-25.0,0.0,21.12875,1.0,0.0,0.0,0.0,1666039835,251302649,-0.5,-0.015,0.0,0.001,0.85,0.001,0.0,-0.001,-0.5,-0.01,-0.001,0.0,0.0,-0.001,-0.01,1666039835,252207225,0,0,0,0,0,-0.025,0.02112875,1666039836,142122572
1666039836,676064982,-26.511707006854834,-100.0,21.715505595132406,1666039836,138744707,-26.511707006854834,-0.04690897196815058,21.715505595132406,1666039836,138744707,77.38308715820312,25.703195571899414,-258.8126220703125,0.9995889067649841,0.007637798320502043,0.02763742208480835,-2.793660947020271e-08,1666039836,664930261,-26.73044117101101,0.12373808965105582,21.754256850217054,0.7164303588214563,0.6974477468695724,0.018815213265200147,0.008096194166643547,1666039836,638480316,0,0,0,0,0,0,0,0,0,-25.0,0.0,21.12875,1.0,0.0,0.0,0.0,1666039835,251302649,-0.5,-0.015,0.0,0.001,0.85,0.001,0.0,-0.001,-0.5,-0.01,-0.001,0.0,0.0,-0.001,-0.01,1666039835,252207225,0,0,0,0,0,-0.025,0.02112875,1666039836,642109960
