Timestamp sec,Timestamp nanosec,Target x,Target y,Target z, Target sec, Target nanosec,Entry_point x,Entry_point y,Entry_point z, Entry_point sec, Entry_point nanosec,AuroraTip x,AuroraTip y,AuroraTip z,AuroraTip qw,AuroraTip qx,AuroraTip qy,AuroraTip qz,AuroraTip sec,AuroraTip nanosec,Tip x,Tip y,Tip z,Tip qw,Tip qx,Tip qy,Tip qz,Tip sec,Tip nanosec,AuroraBase x,AuroraBase y,AuroraBase z,AuroraBase qw,AuroraBase qx,AuroraBase qy,AuroraBase qz,AuroraBase sec,AuroraBase nanosec,Base x,Base y,Base z,Base qw,Base qx,Base qy,Base qz,Base sec,Base nanosec,J00,J01,J02,J10,J11,J12,J20,J21,J22,J30,J31,J32,J40,J41,J42,J sec,J nanosec,Control x,Control y,Control z,Control sec,Control nanosec,Robot x,Robot z,Robot sec,Robot nanosec
1666274436,774205621,0,0,0,0,0,0,0,0,0,0,78.728759765625,15.26480484008789,-262.6765441894531,0.9997406601905823,0.005488396156579256,0.022098751738667488,-7.448874406179584e-09,1666274436,770366055,-26.309356258327128,2.8444232547604997,11.167095569288598,0.715544869982152,0.6984024124861214,0.017377236911826164,0.006721388279676171,1666274436,703311343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.009836250000000001,1666274436,766480265
1666274437,274195043,0,0,0,0,0,0,0,0,0,0,78.13934326171875,14.851844787597656,-262.7993469238281,0.9996737241744995,0.0036940567661076784,0.025277283042669296,-7.453012429436967e-09,1666274437,265398630,-26.182908231373872,2.6384218135779633,11.185139951293486,0.7155102849899196,0.698448771138164,0.016967493561238375,0.0063261672267370846,1666274437,3229573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.009836250000000001,1666274437,266465952
1666274437,774127232,0,0,0,0,0,0,0,0,0,0,78.2013931274414,15.363762855529785,-262.6264343261719,0.9996731281280518,0.0060083866119384766,0.024852991104125977,0.0,1666274437,773686353,-26.411104172635945,2.7832610549784818,11.060477685647136,0.7159124731077503,0.6980100898830677,0.01793697088376381,0.007256165705268167,1666274437,603147245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.009836250000000001,1666274437,766420676
1666274438,274288734,0,0,0,0,0,0,0,0,0,0,78.0250015258789,14.915993690490723,-262.68939208984375,0.9996651411056519,0.003942012786865234,0.025574594736099243,1.3035605483935342e-08,1666274438,268692194,-26.1781737920721,2.723581157926617,11.105172999023416,0.715662475827528,0.698305358801223,0.01686680389123566,0.0062265608932707255,1666274438,203268123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.009836250000000001,1666274438,266461601
1666274438,774182342,0,0,0,0,0,0,0,0,0,0,78.21063995361328,15.22137451171875,-262.5988464355469,0.9996408224105835,0.008736313320696354,0.025334777310490608,-1.4899236511212166e-08,1666274438,762797691,-26.279617582079894,2.57742104035367,11.049554446626537,0.715931242062373,0.6980202024775097,0.016990369267423398,0.006341672197808887,1666274438,504715105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.009836250000000001,1666274438,766463425
1666274439,274160440,0,0,0,0,0,0,0,0,0,0,78.4029769897461,14.302716255187988,-256.5029296875,0.9995417594909668,0.005849360954016447,0.029702067375183105,2.608170923679154e-08,1666274439,273316105,-26.414276549805038,1.3973708576411923,10.78323400267356,0.713556320483007,0.7003909233518849,0.01844761059983069,0.007786361131180379,1666274439,103282279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.009836250000000001,1666274439,266396457
1666274439,774215225,0,0,0,0,0,0,0,0,0,0,78.84185028076172,15.194304466247559,-256.3954772949219,0.9995833039283752,0.012248336337506771,0.02614050917327404,-1.86342163921438e-09,1666274439,766555370,-25.84849962291645,-4.565556180717067,10.886944756458611,0.7142869812630882,0.6996216839824811,0.019112752912251948,0.008417250148389592,1666274439,703334389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.009836250000000001,1666274439,766362238
1666274440,274189456,0,0,0,0,0,0,0,0,0,0,78.62371826171875,14.579185485839844,-257.8409118652344,0.9996368885040283,0.008996129967272282,0.025399597361683846,-2.6079225889930058e-08,1666274440,260128660,-25.67117098280619,-3.4888519168936796,11.005377405284271,0.7108470397336139,0.7031807698749021,0.01799619573120357,0.007393013843009029,1666274440,3356227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.009836250000000001,1666274440,266367881
1666274440,774486029,0,0,0,0,0,0,0,0,0,0,78.4658432006836,15.172501564025879,-258.2069091796875,0.9996203184127808,0.00997769832611084,0.02568233199417591,-2.981364133347597e-08,1666274440,774028943,-25.951917304066257,-2.1867945429482916,11.027208229033157,0.7133446935458956,0.7006335839354437,0.01774281058580396,0.0071090234668846584,1666274440,603266301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.009836250000000001,1666274440,766393480
1666274441,274225104,0,0,0,0,0,0,0,0,0,0,78.63218688964844,14.891093254089355,-258.36773681640625,0.9996572732925415,0.009390830993652344,0.024437159299850464,-2.794197762057138e-08,1666274441,262449937,-26.09647505195008,-1.7718510511321597,10.95622399728574,0.7129984843438781,0.7009918400600537,0.017298701323738296,0.006685567146064237,1666274441,203192540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.025,0.009836250000000001,1666274441,266338981
