Timestamp sec,Timestamp nanosec,Target x,Target y,Target z, Target sec, Target nanosec,Entry_point x,Entry_point y,Entry_point z, Entry_point sec, Entry_point nanosec,AuroraTip x,AuroraTip y,AuroraTip z,AuroraTip qw,AuroraTip qx,AuroraTip qy,AuroraTip qz,AuroraTip sec,AuroraTip nanosec,Tip x,Tip y,Tip z,Tip qw,Tip qx,Tip qy,Tip qz,Tip sec,Tip nanosec,AuroraBase x,AuroraBase y,AuroraBase z,AuroraBase qw,AuroraBase qx,AuroraBase qy,AuroraBase qz,AuroraBase sec,AuroraBase nanosec,Base x,Base y,Base z,Base qw,Base qx,Base qy,Base qz,Base sec,Base nanosec,J00,J01,J02,J10,J11,J12,J20,J21,J22,J30,J31,J32,J40,J41,J42,J sec,J nanosec,Control x,Control y,Control z,Control sec,Control nanosec,Robot x,Robot z,Robot sec,Robot nanosec
1658177995,956596560,0,0,0,0,0,0,0,0,0,0,53.37303924560547,49.47781753540039,-260.06103515625,0.9997158646583557,0.014903130009770393,0.01860004849731922,-9.315872517845492e-09,1658177995,938183447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047746250000000004,0.04347500000000001,1658177995,926026405
1658177996,456748873,0,0,0,0,0,0,0,0,0,0,52.911190032958984,49.652793884277344,-260.3160095214844,0.9996613264083862,0.015160203911364079,0.021153897047042847,2.979786195567158e-08,1658177996,451955387,-50.82026141287361,-1.4348740155634232,42.56023496980973,-0.703156110410618,-0.7108975626689962,-0.0035714902064672553,-0.013599208547027203,1658177996,315144624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047746250000000004,0.04347500000000001,1658177996,426042952
1658177996,956627381,0,0,0,0,0,0,0,0,0,0,52.97823715209961,49.56233215332031,-260.1589050292969,0.9996726512908936,0.014926849864423275,0.020781097933650017,5.589765095237453e-09,1658177996,942591359,-50.653126669541244,-1.3149151264706802,42.50773227915812,-0.7034489707684809,-0.7106385133500565,-0.0024971026556527033,-0.012540808227317537,1658177996,914975628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047746250000000004,0.04347500000000001,1658177996,925992321
1658177997,456547640,0,0,0,0,0,0,0,0,0,0,52.991512298583984,49.860931396484375,-259.9743957519531,0.9996484518051147,0.016588808968663216,0.020679447799921036,-9.31650134816664e-09,1658177997,453363373,-50.481180845568176,-1.4089067555032102,42.484724568078875,-0.7034466551300516,-0.7106426510856123,-0.0020344312755680768,-0.012087262417514583,1658177997,214975089,0,0,0,0,0,0,0,0,0,-47.74625,0.0,43.47500000000001,1.0,0.0,0.0,0.0,1658177997,430046891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047746250000000004,0.04347500000000001,1658177997,425971201
1658177997,956630752,0,0,0,0,0,0,0,0,0,0,53.220340728759766,49.5496826171875,-260.149658203125,0.9996943473815918,0.014955283142626286,0.01968833990395069,2.607044891078658e-08,1658177997,950257105,-50.766615886487386,-1.5027155963313135,42.707823582689386,-0.7025721791100044,-0.7114927647814202,-0.003075493983991401,-0.013124215565653258,1658177997,814968213,0,0,0,0,0,0,0,0,0,-47.74625,0.0,43.47500000000001,1.0,0.0,0.0,0.0,1658177997,430046891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047746250000000004,0.04347500000000001,1658177997,925958248
1658177998,456628329,-50.52062660728202,-100.0,42.40778059635406,1658177998,12856949,-50.52062660728202,-1.429740439284501,42.40778059635406,1658177998,12856949,53.00902557373047,49.487186431884766,-260.41192626953125,0.9996770620346069,0.014603018760681152,0.020797520875930786,-1.863246890110304e-09,1658177998,440171149,-50.554021050977454,-1.465812698738091,42.77559197925821,-0.7023043206070779,-0.7117585994556702,-0.0022717649050899374,-0.012341266724291398,1658177998,415134508,0,0,0,0,0,0,0,0,0,-47.74625,0.0,43.47500000000001,1.0,0.0,0.0,0.0,1658177997,430046891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.047746250000000004,0.04347500000000001,1658177998,425953945
1658177998,956685550,-50.52062660728202,-100.0,42.40778059635406,1658177998,12856949,-50.52062660728202,-1.429740439284501,42.40778059635406,1658177998,12856949,53.25120162963867,49.53955078125,-260.2743225097656,0.9997013211250305,0.014883757568895817,0.019384831190109253,-1.3042411595165504e-08,1658177998,955860395,-50.658474889029186,-1.3424681803642784,42.50008832817251,-0.7033081359431431,-0.7107711616522887,-0.00297582393388255,-0.01301272526560377,1658177998,714948275,0,0,0,0,0,0,0,0,0,-47.74625,-5.0,43.47500000000001,1.0,0.0,0.0,0.0,1658177998,758158386,0.9906,-0.06046477213898807,-0.5254,0.0588,0.6000418390344255,-0.1336,-0.3769,0.0710372652627433,0.297,0.0004,-5.4497602368515884e-05,0.0015,0.0058,-0.0010074819389693723,-0.0015,1658177998,811383295,-47.74625,-0.523167655258313,43.47500000000001,1658177998,759884192,-0.047746250000000004,0.04347500000000001,1658177998,925940850
1658177999,456560522,-50.52062660728202,-100.0,42.40778059635406,1658177999,12974607,-50.52062660728202,-1.429740439284501,42.40778059635406,1658177999,12974607,53.03388595581055,49.87267303466797,-260.0501403808594,0.999656081199646,0.01639401726424694,0.020473122596740723,9.301873049594178e-09,1658177999,447891535,-50.499940551497524,-1.263776884112417,42.5453513563488,-0.7032611145373316,-0.7108174736765259,-0.0020105211142128093,-0.012067183594375261,1658177999,314967579,0,0,0,0,0,0,0,0,0,-47.74625,-5.0,43.47500000000001,1.0,0.0,0.0,0.0,1658177998,758158386,0.9906,-0.06046477213898807,-0.5254,0.0588,0.6000418390344255,-0.1336,-0.3769,0.0710372652627433,0.297,0.0004,-5.4497602368515884e-05,0.0015,0.0058,-0.0010074819389693723,-0.0015,1658177998,811383295,-47.74625,-0.523167655258313,43.47500000000001,1658177998,759884192,-0.047746250000000004,0.04347500000000001,1658177999,425897612
1658177999,956569463,-50.52062660728202,-100.0,42.40778059635406,1658177999,12974607,-50.52062660728202,-1.429740439284501,42.40778059635406,1658177999,12974607,53.31441879272461,49.89484405517578,-260.2167663574219,0.9996813535690308,0.016607284545898438,0.019010156393051147,-2.235886675805432e-08,1658177999,940437223,-50.8665862452259,-1.4236312117245689,42.67373213599468,-0.702684353673381,-0.7113779485502949,-0.0033364756529578243,-0.01337793035824068,1658177999,915144626,0,0,0,0,0,0,0,0,0,-47.74625,-10.0,43.47500000000001,1.0,0.0,0.0,0.0,1658177999,805794799,0.9906,-0.06046477213898807,-0.5254,0.0588,0.6000418390344255,-0.1336,-0.3769,0.0710372652627433,0.297,0.0004,-5.4497602368515884e-05,0.0015,0.0058,-0.0010074819389693723,-0.0015,1658177998,811383295,-47.74625,-5.5232293772365,43.47500000000001,1658177999,808354495,-0.047746250000000004,0.04347500000000001,1658177999,925902749
1658178000,456629855,-50.52062660728202,-100.0,42.40778059635406,1658178000,13082042,-50.52062660728202,-1.429740439284501,42.40778059635406,1658178000,13082042,52.680171966552734,49.58678436279297,-260.1556091308594,0.9996380805969238,0.014923990704119205,0.022381367161870003,-1.1179917436265896e-08,1658178000,450817959,-50.79887241510419,-1.487591347194666,42.72177326510109,-0.702620024535244,-0.7114479601123084,-0.0032732617180339,-0.013317259712549264,1658178000,214890522,0,0,0,0,0,0,0,0,0,-47.74625,-10.0,43.47500000000001,1.0,0.0,0.0,0.0,1658177999,805794799,0.9906,0.0024528458912490697,-0.5254,0.0588,0.21922464986153511,-0.1336,-0.3769,0.005158745003360124,0.297,0.0004,-0.00013701586934291232,0.0015,0.0058,-0.0001559974280210349,-0.0015,1658178000,11294432,-47.74625,-5.5232293772365,43.47500000000001,1658177999,808354495,-0.047746250000000004,0.04347500000000001,1658178000,425867098
